**********************************************
* Logging started at ÖÜÈÕ 1ÔÂ 28 22:01:02 2024
* By flac3d Version 7.00 Release 126
* 
* 
* Job Title: 
**********************************************
flac3d>zone list stress range position-x 0 500 position-y 0 300 position-z 14.9 17.1
Zone total stress tensor.
     ID            XX            YY            ZZ            XY            YZ            XZ 
------- ------------- ------------- ------------- ------------- ------------- ------------- 
 158139 -1.906999e+07 -1.905328e+07 -1.546397e+07  3.936482e+03  8.238043e+03 -2.106893e+02 
 158140 -1.906143e+07 -1.905392e+07 -1.546357e+07  2.424960e+03  8.476094e+03  8.293018e+03 
 158141 -1.910149e+07 -1.906033e+07 -1.524414e+07  8.861219e+02  8.530891e+03 -5.244626e+04 
 158142 -1.902704e+07 -1.904566e+07 -1.581296e+07 -7.010878e+03  2.557163e+04  1.145476e+05 
 158143 -1.901709e+07 -1.904062e+07 -1.585376e+07  4.577818e+03 -3.143017e+03 -1.306232e+05 
 158144 -1.911428e+07 -1.905348e+07 -1.544423e+07  9.791573e+03  3.798333e+03  3.118693e+04 
 158145 -1.906990e+07 -1.905313e+07 -1.550489e+07  8.546132e+03  3.730641e+03 -2.909854e+03 
 158146 -1.907454e+07 -1.905427e+07 -1.548312e+07  7.178478e+03  5.898364e+03 -1.865106e+03 
 158147 -1.907076e+07 -1.905524e+07 -1.547472e+07  5.695222e+03  7.250653e+03 -1.173123e+03 
 158148 -1.906851e+07 -1.905603e+07 -1.546522e+07  4.112751e+03  8.122647e+03 -7.643093e+02 
 158149 -1.905993e+07 -1.905663e+07 -1.546427e+07  2.519095e+03  8.591586e+03  7.990774e+03 
 158150 -1.909997e+07 -1.906328e+07 -1.524456e+07  8.988611e+02  8.766168e+03 -5.254107e+04 
 158151 -1.899372e+07 -1.904998e+07 -1.585013e+07  6.888527e+04 -5.845198e+04  1.068590e+05 
 158152 -1.900143e+07 -1.904558e+07 -1.590054e+07  1.838194e+04 -1.757870e+04 -1.489378e+05 
 158153 -1.911503e+07 -1.905658e+07 -1.544909e+07  1.107665e+04 -3.061324e+03  2.948595e+04 
 158154 -1.906730e+07 -1.905614e+07 -1.551299e+07  8.967431e+03  5.417006e+02 -6.052979e+03 
 158155 -1.907296e+07 -1.905734e+07 -1.548800e+07  7.377274e+03  4.017399e+03 -4.050221e+03 
 158156 -1.906918e+07 -1.905820e+07 -1.547795e+07  5.830499e+03  6.186868e+03 -2.582136e+03 
 158157 -1.906697e+07 -1.905899e+07 -1.546727e+07  4.242281e+03  7.627728e+03 -1.637811e+03 
 158158 -1.905844e+07 -1.905957e+07 -1.546558e+07  2.562154e+03  8.416294e+03  7.514778e+03 
 158159 -1.909848e+07 -1.906606e+07 -1.524550e+07  9.524150e+02  8.676058e+03 -5.269507e+04 
 158160 -1.900858e+07 -1.903307e+07 -1.595519e+07 -5.021180e+04 -5.079424e+03  1.047756e+05 
 158161 -1.900201e+07 -1.904075e+07 -1.594338e+07 -2.462783e+03 -1.340461e+04 -1.664949e+05 
 158162 -1.911546e+07 -1.905767e+07 -1.545900e+07  9.779832e+03 -6.256007e+03  2.624685e+04 
 158163 -1.906499e+07 -1.905883e+07 -1.552349e+07  8.788019e+03 -2.623955e+03 -1.062314e+04 
 158164 -1.907128e+07 -1.906030e+07 -1.549465e+07  7.408155e+03  1.731341e+03 -7.255374e+03 
 158165 -1.906763e+07 -1.906123e+07 -1.548246e+07  5.817464e+03  4.686426e+03 -4.727785e+03 
 158166 -1.906546e+07 -1.906196e+07 -1.547026e+07  4.221500e+03  6.712683e+03 -2.981932e+03 
 158167 -1.905698e+07 -1.906251e+07 -1.546763e+07  2.560765e+03  7.891334e+03  6.789528e+03 
 158168 -1.909705e+07 -1.906903e+07 -1.524708e+07  9.205935e+02  8.315232e+03 -5.292758e+04 
 158169 -1.897264e+07 -1.904865e+07 -1.596640e+07  1.141244e+05 -5.435481e+04  9.240995e+04 
 158170 -1.898692e+07 -1.904642e+07 -1.599055e+07  2.813751e+04 -3.252387e+04 -1.852359e+05 
 158171 -1.911545e+07 -1.906085e+07 -1.547087e+07  1.227208e+04 -1.388086e+04  2.075306e+04 
 158172 -1.906248e+07 -1.906123e+07 -1.553645e+07  9.482465e+03 -7.358535e+03 -1.644214e+04 
 158173 -1.906964e+07 -1.906312e+07 -1.550323e+07  7.551096e+03 -1.405048e+03 -1.154127e+04 
 158174 -1.906607e+07 -1.906432e+07 -1.548840e+07  5.792377e+03  2.635724e+03 -7.694331e+03 
 158175 -1.906401e+07 -1.906502e+07 -1.547436e+07  4.161388e+03  5.321852e+03 -4.913893e+03 
 158176 -1.905557e+07 -1.906552e+07 -1.547057e+07  2.542428e+03  6.976118e+03  5.733085e+03 
 158177 -1.909571e+07 -1.907200e+07 -1.524944e+07  8.746680e+02  7.663980e+03 -5.326744e+04 
 158178 -1.898173e+07 -1.903557e+07 -1.604162e+07 -8.363824e+04 -4.121462e+04  9.225457e+04 
 158179 -1.898584e+07 -1.904172e+07 -1.603956e+07 -5.403389e+03 -3.156047e+04 -2.053370e+05 
 158180 -1.911422e+07 -1.906150e+07 -1.548968e+07  1.152772e+04 -2.085300e+04  1.275892e+04 
 158181 -1.906002e+07 -1.906340e+07 -1.555261e+07  9.691230e+03 -1.240516e+04 -2.412855e+04 
 158182 -1.906785e+07 -1.906576e+07 -1.551414e+07  7.841629e+03 -5.072501e+03 -1.709867e+04 
 158183 -1.906449e+07 -1.906717e+07 -1.549602e+07  5.800889e+03  5.114573e+01 -1.152577e+04 
 158184 -1.906256e+07 -1.906813e+07 -1.547968e+07  3.970501e+03  3.534547e+03 -7.423114e+03 
 158185 -1.905428e+07 -1.906864e+07 -1.547447e+07  2.414998e+03  5.708401e+03  4.325478e+03 
 158186 -1.909450e+07 -1.907517e+07 -1.525261e+07  8.379416e+02  6.707048e+03 -5.372621e+04 
 158187 -1.895320e+07 -1.903158e+07 -1.612041e+07  1.503302e+05 -7.497147e+04  6.106706e+04 
 158188 -1.897474e+07 -1.904084e+07 -1.608643e+07  4.130610e+04 -5.074792e+04 -2.218863e+05 
 158189 -1.911060e+07 -1.906206e+07 -1.551631e+07  1.627044e+04 -3.006878e+04  1.173182e+03 
 158190 -1.905711e+07 -1.906515e+07 -1.557201e+07  1.151064e+04 -1.821602e+04 -3.344227e+04 
 158191 -1.906575e+07 -1.906813e+07 -1.552765e+07  8.290235e+03 -9.297974e+03 -2.404290e+04 
 158192 -1.906276e+07 -1.906979e+07 -1.550547e+07  5.959471e+03 -2.880691e+03 -1.638276e+04 
 158193 -1.906116e+07 -1.907088e+07 -1.548636e+07  3.938033e+03  1.480711e+03 -1.054024e+04 
 158194 -1.905313e+07 -1.907159e+07 -1.547942e+07  2.385953e+03  4.198808e+03  2.620104e+03 
 158195 -1.909337e+07 -1.907820e+07 -1.525668e+07  8.759196e+02  5.461675e+03 -5.427851e+04 
 158196 -1.896613e+07 -1.901604e+07 -1.611953e+07 -9.209660e+04 -4.333646e+04  6.345098e+04 
 158197 -1.897046e+07 -1.903545e+07 -1.611892e+07  4.749195e+03 -4.726292e+04 -2.345195e+05 
 158198 -1.910417e+07 -1.906164e+07 -1.555057e+07  1.813493e+04 -3.734527e+04 -1.347136e+04 
 158199 -1.905348e+07 -1.906667e+07 -1.559486e+07  1.280666e+04 -2.382766e+04 -4.428899e+04 
 158200 -1.906314e+07 -1.907043e+07 -1.554389e+07  8.913180e+03 -1.359254e+04 -3.225671e+04 
 158201 -1.906091e+07 -1.907240e+07 -1.551682e+07  6.085370e+03 -5.948899e+03 -2.226878e+04 
 158202 -1.905982e+07 -1.907361e+07 -1.549441e+07  3.932656e+03 -7.248420e+02 -1.435816e+04 
 158203 -1.905203e+07 -1.907420e+07 -1.548548e+07  2.275047e+03  2.498694e+03  5.194005e+02 
 158204 -1.909231e+07 -1.908058e+07 -1.526174e+07  8.311971e+02  3.934255e+03 -5.496140e+04 
 158205 -1.892047e+07 -1.901533e+07 -1.617127e+07  2.191306e+05 -1.005357e+05  3.697869e+04 
 158206 -1.895277e+07 -1.903267e+07 -1.616181e+07  6.931459e+04 -6.822553e+04 -2.451080e+05 
 158207 -1.909280e+07 -1.906079e+07 -1.559421e+07  2.762538e+04 -4.578111e+04 -3.078304e+04 
 158208 -1.904817e+07 -1.906785e+07 -1.562196e+07  1.656318e+04 -2.933085e+04 -5.661978e+04 
 158209 -1.905969e+07 -1.907258e+07 -1.556295e+07  1.009545e+04 -1.773792e+04 -4.162755e+04 
 158210 -1.905886e+07 -1.907488e+07 -1.553003e+07  6.410719e+03 -8.994782e+03 -2.899622e+04 
 158211 -1.905847e+07 -1.907611e+07 -1.550380e+07  3.998404e+03 -2.996100e+03 -1.881623e+04 
 158212 -1.905092e+07 -1.907682e+07 -1.549255e+07  2.169804e+03  6.857745e+02 -2.004733e+03 
